,Message,Tweet Favorite Count,Retweet Count,Created At,Username,User Description,Following,Followers,Location
48,Donald Trump is so obsessed with undoing Barack Obama's legacy that he is in danger of repeating his predecessor's… https://t.co/OnGLsg1S7j,26,13,2019-07-03 15:14:07,Bloomberg,The first word in business news.,1253,5417545,New York and the World
49,"Highlight: ""There is such a fierce war going on in the full-size pickup truck market, it's unbelievable,""… https://t.co/ExdLttAfVO",2,2,2019-07-03 15:13:10,Yahoo Finance,"The planet’s biggest business news platform: https://t.co/BRValVvylE

Get the free Yahoo Finance app ⬇️",834,858422,"New York, NY"
50,Trump says 'absolutely moving forward' with census citizenship question https://t.co/lGwdYCVbKX,17,10,2019-07-03 15:10:25,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
51,Deputy Commerce Secretary Karen Dunn Kelley will lead the U.S. delegation to the final match of the Women's World C… https://t.co/QbpOvEW478,2,2,2019-07-03 15:08:07,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
52,"Forget beer and rosé, a truly classy BBQ calls for whiskey cocktails 🥃https://t.co/jxLANpAaxi",50,17,2019-07-03 15:07:36,Bloomberg,The first word in business news.,1253,5417545,New York and the World
53,U.S. trade gap widens by more than forecast to highest in 2019 https://t.co/ybPrrcus3P  via @business https://t.co/wIoqIAPRsy,5,5,2019-07-03 15:07:32,Yahoo Finance,"The planet’s biggest business news platform: https://t.co/BRValVvylE

Get the free Yahoo Finance app ⬇️",834,858422,"New York, NY"
54,.@stepcarter looks back at the Red Summer of 1919 and marvels at how little things have changed in America… https://t.co/l4AavBLhkd,22,9,2019-07-03 15:05:21,Bloomberg,The first word in business news.,1253,5417545,New York and the World
55,"Highlight: ""We're getting a mature employment picture,"" RDM Financial Group's Ron Weiner says. ""If wages go up to 3… https://t.co/p0WF0tXNvN",2,1,2019-07-03 15:04:53,Yahoo Finance,"The planet’s biggest business news platform: https://t.co/BRValVvylE

Get the free Yahoo Finance app ⬇️",834,858422,"New York, NY"
56,Film-makers increasingly fan the hype around spoilers and plot-twists. On “The Intelligence” @drjonty explains why… https://t.co/SG2gKg52eG,27,15,2019-07-03 15:04:13,The Economist,News and analysis with a global perspective.  Subscribe here: https://t.co/owztJzwlmm,119,23828968,London
57,Here's one reason why Americans abroad want to surrender their citizenship https://t.co/FFaF8weWZl,20,10,2019-07-03 15:03:08,CNBC,First in business worldwide.,699,3194872,"Englewood Cliffs, NJ"
58,Gold prices could reach fresh 6-year highs thanks to a slew of positive drivers (via @CNBCFuturesNow) https://t.co/62ZFynFuMw,15,11,2019-07-03 15:03:08,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
59,A warlord’s offensive against Tripoli is flagging https://t.co/lBv1tbQlHj,26,14,2019-07-03 15:02:41,The Economist,News and analysis with a global perspective.  Subscribe here: https://t.co/owztJzwlmm,119,23828971,London
60,Acting Homeland Security Secretary Kevin McAleenan announced an investigation into “disturbing &amp; inexcusable” socia… https://t.co/omAYYBVvQj,14,7,2019-07-03 15:01:56,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
61,U.S. economy's service sector expands at slowest pace in nearly two years: ISM https://t.co/ZiQc224o6u,5,4,2019-07-03 15:01:24,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
62,RT @DrTonyWagner: Attention anyone planning to run for office: Please read this concise summary of the greatest threats to democracy now an…,0,2,2019-07-03 15:00:25,New York Times Opinion,We amplify voices on the issues that matter to you. | Tell us what you think: letters@nytimes.com,1413,694653,"NYC, London, Paris, Hong Kong"
63,SPONSORED: Where should companies invest to take advantage of self-driving vehicles? https://t.co/q0nHEZWotJ,28,16,2019-07-03 15:00:19,Bloomberg,The first word in business news.,1253,5417545,New York and the World
64,Christine Lagarde’s nomination to lead the ECB sent investors scrambling to buy more government debt  in a bet that… https://t.co/CpBGvDJVuH,16,6,2019-07-03 15:00:10,The Wall Street Journal,Breaking news and features from the WSJ.,1133,16706165,"New York, NY"
65,Deloitte’s #cultureofcourage is reflected in the amazing stories of our people. Listen to our new #podcast to learn… https://t.co/6MUVdgB6m2,2,0,2019-07-03 15:00:01,Deloitte US,"At Deloitte, we help clients identify unrealized opportunities and illuminate new ways to adapt to change. #LookAgain",2763,120822,United States
66,"The markets may look good right now, but there's trouble lurking under the surface, says @BrettArends https://t.co/lNDGhetMrp",8,5,2019-07-03 14:58:10,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
67,RT @CNBCMakeIt: Here’s what Janelle Monáe learned from her parents about money and community. https://t.co/NP2GabDsFk https://t.co/wSYKk8oH…,0,7,2019-07-03 14:56:27,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
68,Why the market is still worried about demand for oil despite OPEC's production cuts https://t.co/2LHEuHu92O by… https://t.co/chYSFqcg61,2,1,2019-07-03 14:54:22,Yahoo Finance,"The planet’s biggest business news platform: https://t.co/BRValVvylE

Get the free Yahoo Finance app ⬇️",834,858422,"New York, NY"
69,The one hurdle that prevented emerging-market stocks from posting a more sustained recovery has been removed https://t.co/Yz1ZxxAx5C,22,8,2019-07-03 14:54:17,Bloomberg,The first word in business news.,1253,5417545,New York and the World
70,Service-sector activity across the U.S. slowed in June but still suggested steady economic growth https://t.co/mO5B2bTBEW,2,0,2019-07-03 14:54:11,Real Time Economics,Economic insight from The Wall Street Journal. Want more? Sign up for our daily Real Time Economics newsletter: https://t.co/HX7UM0pmuK,97,780550,"Washington, D.C."
71,Acting DHS chief Kevin McAleenan orders 'immediate' probe of 'inexcusable' Facebook posts https://t.co/v96Q2RkFBp,11,6,2019-07-03 14:53:05,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
72,"Luis Alvarez, a 9/11 first responder and advocate for victims, died from colon cancer on Saturday https://t.co/TPPZTSYsT7",34,19,2019-07-03 14:49:50,Bloomberg,The first word in business news.,1253,5417545,New York and the World
73,"Tesla's record-breaking production and delivery numbers ""mark a turning point for the Tesla story,"" Loup Ventures'… https://t.co/J6rjTRp8Ky",21,17,2019-07-03 14:49:00,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
74,"RT @MKTWgoldstein: Deputy Commerce secretary to lead U.S. delegation to Women's World Cup final https://t.co/lndqTIALNp

If you're wonderin…",0,24,2019-07-03 14:48:22,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
75,"“We’ll get to 30,000 on the Dow if we pass USMCA, we cut interest rates and we move forward with the Trump-growth a… https://t.co/cWrljKSaao",29,7,2019-07-03 14:47:20,Bloomberg,The first word in business news.,1253,5417545,New York and the World
76,Defenders of ‘meatless meat’ sue Mississippi for violating free-speech rights https://t.co/SdghHCCX3n,8,6,2019-07-03 14:46:53,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
77,Iran says it will take steps Sunday to increase enrichment of uranium beyond limits set in the 2015 nuclear deal https://t.co/L5hgC9vPWZ,53,28,2019-07-03 14:45:05,The Wall Street Journal,Breaking news and features from the WSJ.,1133,16706165,"New York, NY"
78,"Everyone wants to be happy. Just not, it would seem, together, writes Adriana Cavarero. https://t.co/yXItr9yFYU",10,2,2019-07-03 14:45:05,New York Times Opinion,We amplify voices on the issues that matter to you. | Tell us what you think: letters@nytimes.com,1413,694653,"NYC, London, Paris, Hong Kong"
79,"China’s financial markets, like its economy, have expanded so fast they have left Hong Kong in the dust https://t.co/GplzFpFoCo",5,2,2019-07-03 14:45:03,New York Times Opinion,We amplify voices on the issues that matter to you. | Tell us what you think: letters@nytimes.com,1413,694653,"NYC, London, Paris, Hong Kong"
80,The central bank said new information since April hasn’t led to any big changes in its forecasts for the global eco… https://t.co/jADXqEZ9IQ,1,2,2019-07-03 14:44:27,Real Time Economics,Economic insight from The Wall Street Journal. Want more? Sign up for our daily Real Time Economics newsletter: https://t.co/HX7UM0pmuK,97,780550,"Washington, D.C."
81,Subscribe to The Economist for 12 weeks' access with our introductory offer and enjoy a fresh perspective on the is… https://t.co/H3kprAiBGS,16,8,2019-07-03 14:44:13,The Economist,News and analysis with a global perspective.  Subscribe here: https://t.co/owztJzwlmm,119,23828971,London
82,Dow industrials join S&amp;P 500 in exploring all-time intraday heights https://t.co/FCJ3RuOXTx,6,4,2019-07-03 14:42:50,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
83,"RT @Lebeaucarnews: Quote of the day: ""Elon Musk probably comes closest.""  That's from Bob Lutz, who worked side by side with Lee Iacocca fo…",0,13,2019-07-03 14:41:29,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
84,RT @amanda_m_macias: The Pentagon slammed the continued Chinese militarization of the South China Sea after @ckubeNBC and I reported that B…,0,12,2019-07-03 14:37:45,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
85,"RT @erikbryn: ""China, Russia, Iran and even North Korea’s “Little Rocket Man” aren’t going to take us down. Only we can take ourselves down…",0,17,2019-07-03 14:37:24,New York Times Opinion,We amplify voices on the issues that matter to you. | Tell us what you think: letters@nytimes.com,1413,694653,"NYC, London, Paris, Hong Kong"
86,"Jim Beam warehouse with 45,000 barrels of bourbon burns in Kentucky https://t.co/EMpF6icC0P",31,16,2019-07-03 14:37:10,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
87,Deputy Commerce secretary to lead U.S. delegation to Women's World Cup final https://t.co/nYMS6Lza8p,5,3,2019-07-03 14:34:31,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
88,Dollar slides after Trump says the US should match the 'currency manipulation game' https://t.co/iP264kCfd1,77,42,2019-07-03 14:34:28,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
89,Predatory lenders prey on military members. Here's how to avoid being victimized #investinyou (In partnership with… https://t.co/AYaSj1SLmc,12,6,2019-07-03 14:33:23,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
90,"A Delta pilot arrested a passenger after they attempted to enter the cockpit, forcing a New York-bound plane to ret… https://t.co/Ju7Tu0wgU8",36,16,2019-07-03 14:33:01,Bloomberg,The first word in business news.,1253,5417545,New York and the World
91,Jim Beam warehouse containing tens of thousands of barrels of bourbon ablaze https://t.co/GXSK5AybSE https://t.co/tLiRzstHyn,14,27,2019-07-03 14:32:16,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
92,"Over the weekend, China carried out an anti-ship ballistic missile test and fired at least one missile into the Sou… https://t.co/RIkySi7XDD",12,11,2019-07-03 14:32:15,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
93,Here’s why global bond-markets are rallying on nominations to ECB and Fed https://t.co/t5nWz1qx7p,6,3,2019-07-03 14:32:09,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
94,"From @wsjopinion: As July 4 nears, the rise of populist nationalism at home and abroad should drive us to reflect a… https://t.co/CUzUuAJT2F",64,30,2019-07-03 14:30:08,The Wall Street Journal,Breaking news and features from the WSJ.,1133,16706165,"New York, NY"
95,"On President Trump's recent trip to Asia, Ivanka nudged Pompeo and Mulvaney out of the frame, essentially performin… https://t.co/ilBcsY4a7u",26,20,2019-07-03 14:30:06,New York Times Opinion,We amplify voices on the issues that matter to you. | Tell us what you think: letters@nytimes.com,1413,694653,"NYC, London, Paris, Hong Kong"
96,Pentagon condemns 'truly disturbing' Chinese missile tests in South China Sea https://t.co/fVQCK3SVHG,2,5,2019-07-03 14:29:47,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
97,Democratic presidential candidate Pete Buttigieg's proposal aims to create a network of 1 million national service… https://t.co/UH6rKIKwaV,14,2,2019-07-03 14:29:26,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
98,Fire rages at Jim Beam bourbon warehouse in Kentucky https://t.co/EpgJ8mfGwY,7,9,2019-07-03 14:29:16,MarketWatch,"News, personal finance & commentary from MarketWatch.",188,3637005,
99,The number of Americans filing applications for unemployment benefits fell more than expected last week.… https://t.co/E4z9V3l5cU,10,8,2019-07-03 14:29:00,CNBC,First in business worldwide.,699,3194873,"Englewood Cliffs, NJ"
